,1,Unnamed: 1,iPhone XS (5.8')-Gray-256G,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,iPhone XS Max (6.5')-Gray-512G,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,iPhone XR (6.1')-Red-64G,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
0,,,U.S.,,,,,Germany,Japan,UK,China,U.S.,,,,,Germany,UK,China,U.S.,,,,,Germany,Japan,UK,,,China,,
1,,,Apple Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Source,"https://www.apple.com/shop/buy-iphone/iphone-xs#00,20,31","https://www.apple.com/shop/buy-iphone/iphone-xs#00,10,31","https://www.apple.com/shop/buy-iphone/iphone-xs#00,13,31","https://www.apple.com/shop/buy-iphone/iphone-xs#00,11,31","https://www.apple.com/shop/buy-iphone/iphone-xs#00,12,31","https://www.apple.com/de/shop/buy-iphone/iphone-xs#00,11","https://www.apple.com/jp/shop/buy-iphone/iphone-xs#00,11","https://www.apple.com/uk/shop/buy-iphone/iphone-xs#00,11","https://www.apple.com/cn/shop/buy-iphone/iphone-xs#00,11","https://www.apple.com/shop/buy-iphone/iphone-xs#01,20,31","https://www.apple.com/shop/buy-iphone/iphone-xs#01,10,31","https://www.apple.com/shop/buy-iphone/iphone-xs#01,13,31","https://www.apple.com/shop/buy-iphone/iphone-xs#01,11,31","https://www.apple.com/shop/buy-iphone/iphone-xs#01,12,31","https://www.apple.com/de/shop/buy-iphone/iphone-xs#01,11","https://www.apple.com/uk/shop/buy-iphone/iphone-xs#01,11","https://www.apple.com/cn/shop/buy-iphone/iphone-xs#01,11",,,,,,,,,,,,,
3,,,Non-carrier,AT&T,verison,sprint, tmobile,Apple store,Apple store,Apple store,Apple store,Non-carrier,AT&T,verison,sprint, tmobile,Apple store,Apple store,Apple store,Non-carrier,AT&T,verison,sprint, tmobile,Apple store,Apple store,Apple store,BT,Giffgaff,Apple store,JD (预约),Tmall
4,预约阶段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,09:23:00,2018-09-14 00:00:00,,,,,,,/,/,/,,,,,,,,,,,,,,,,,,,/,199699,/
6,10:00:00,2018-09-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203003,
7,11:00:00,2018-09-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207015,
8,12:00:00,2018-09-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211307,
9,13:05:00,2018-09-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215631,
10,13:55:00,2018-09-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218851,
11,15:00:00,2018-09-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223613.76923076922,
12,预定阶段（付费）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15:40:00,2018-09-14 00:00:00,2018-09-21 00:00:00,2018-09-21 00:00:00,2018-09-21 00:00:00,2018-09-21 00:00:00,1-2 wks,2018-09-21 00:00:00,1-2 wks,2018-09-21 00:00:00,,2018-09-21 00:00:00,1-2 wks,1-2 wks,1-2 wks,2-3 wks,2018-09-21 00:00:00,2-3 wks,2-3 wks,,,,,,,,,,,,230626,
14,16:10:00,2018-09-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,17:40:00,2018-09-14 00:00:00,,,,,,,,,2-3 wks,,,,,,,,,,,,,,,,,,,,,
16,18:00:00,2018-09-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,22:00:00,2018-09-14 00:00:00,2018-09-21 00:00:00,1-2 wks,1-2 wks,2018-09-21 00:00:00,1-2 wks,1-2 wks,1-2 wks,2018-09-21 00:00:00,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,2-3 wks,1-2 wks,,,,,,,,,,,,,
21,23:59:00,2018-09-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258957,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,15:00:00,2018-09-15 00:00:00,2018-09-21 00:00:00,1-2 wks,1-2 wks,2018-09-21 00:00:00,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,,,,,,,,,,,,,
24,22:00:00,2018-09-15 00:00:00,2018-09-21 00:00:00,1-2 wks,1-2 wks,2018-09-21 00:00:00,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,,,,,,,,,,,,,
25,21:50:00,2018-09-16 00:00:00,1-2 wks,1-2 wks,1-2 wks,2018-09-21 00:00:00,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,,,,,,,,,,,,,
26,19:49:00,2018-09-17 00:00:00,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,2-3wks ,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,2-3 wks,,,,,,,,,,,,,
27,19:29:00,2018-09-18 00:00:00,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,,,,,,,,,,,,,
28,18:33:00,2018-09-19 00:00:00,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,09/27 - 10/04,09/28 - 10/05,09/27 - 10/04,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,27 Sep - 4 Oct,27 Sep - 4 Oct,1-2 wks,,,,,,,,,,,,,
29,21:30:00,2018-09-20 00:00:00,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks (09/27 - 10/04) ,1-2 wks (09/28 - 10/05),1-2 wks (09/27 - 10/04) ,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks (09/27 - 10/04) ,1-2 wks (09/27 - 10/04) ,1-2 wks,,,,,,,,,,,,,
30,,2018-09-21 00:00:00,09/28- 10/05(1-2 wks),09/28- 10/05(1-2 wks),09/28- 10/05(1-2 wks),09/28- 10/05(1-2 wks),09/28- 10/05(1-2 wks),1-1.5 wks (09/27 - 10/02),1-1.5 wks (09/27 - 10/02),1-1.5 wks (09/27 - 10/01),3-5 d (09/24 - 9/26),09/28- 10/05(1-2 wks),09/28- 10/05(1-2 wks),09/28- 10/05(1-2 wks),09/28- 10/05(1-2 wks),09/28- 10/05(1-2 wks),1.5-2.5 wks  (10/02 - 10/10) ,1.5-2.5 wks (1 Oct - 8 Oct ),09/28- 10/05(1-2 wks),,,,,,,,,,,,,
31,,2018-09-22 00:00:00,3-5 d ,3-5 d ,3-5 d ,3-5 d ,3-5 d ,1-1.5 wks (09/28- 10/04,1-1.5 wks (09/29- 10/03）,1-1.5 wks (09/28 - 10/02),3-5 d,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1.5-2.5 wks  (10/04- 10/11) ,1.5-2.5 wks (2 Oct - 9 Oct ),1-2 wks,,,,,,,,,,,,,
32,22:50:00,2018-09-23 00:00:00,3-5 d ,3-5 d ,3-5 d ,3-5 d ,3-5 d ,1-1.5 wks (09/28- 10/04,1-1.5 wks (09/29- 10/03）,1-1.5 wks (09/28 - 10/02),3-5 d,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1.5-2.5 wks  (10/04- 10/11) ,1.5-2.5 wks (2 Oct - 9 Oct ),1-2 wks,,,,,,,,,,,,,
33,21:35:00,2018-09-24 00:00:00,3-5 d ,3-5 d ,3-5 d ,3-5 d ,3-5 d ,0.5-1.5 wks (09/28- 10/04,0.5-1.5 wks (09/29- 10/03）,0.5-1.5 wks (09/28 - 10/02),3-5 d,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1.5-2.5 wks  (10/04- 10/11) ,1.5-2.5 wks (2 Oct - 9 Oct ),1-2 wks,,,,,,,,,,,,,
34,20:40:00,2018-09-25 00:00:00,3-5 d ,3-5 d ,3-5 d ,3-5 d ,3-5 d ,3-5 d (09/27- 10/02),3-5 d (09/29- 10/03）,3-5 d (09/27- 10/01),3-5 d,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1.5-2.5 wks  (10/04- 10/12) ,1.5-2.5 wks (3 Oct - 10 Oct ),1-2 wks,,,,,,,,,,,,,
35,20:25:00,2018-09-26 00:00:00,1-3d,1-3d,1-3d,1-3d,1-3d,3-5 d (09/28- 10/04),3-5 d (09/28- 10/02）,3-5 d (09/28- 10/02),64G 1-3d/ others 3-5d,1-2 wks,1-2 wks,1-2 wks,1-2 wks,1-2 wks,almost 2-3wks  (10/08- 10/15) ,1.5-2.5 wks (4 Oct - 11Oct ),5-7d,,,,,,,,,,,,,
36,20:10:00,2018-09-27 00:00:00,1-3d,1-3d,1-3d,1-3d,1-3d,3-5 d (10/02- 10/05),3-5 d (09/29- 10/03）,3-5 d (10/01- 10/03),64G 1-3d/ others 3-5d,5-7d,5-7d,5-7d,5-7d,5-7d,1.5-2wks  (10/09- 10/11) ,1-1.5 wks (5 Oct - 9Oct ),5-7d,,,,,,,,,,,,,
37,21:01:36.337876,2018-10-14,In Stock,In Stock,In Stock,In Stock,In Stock,Di 16 Okt,火 2018/10/16,Tue 16 Oct,有现货,In Stock,In Stock,In Stock,In Stock,In Stock,Di 16 Okt,Tue 16 Oct,有现货,,,,,,,,,,,,,
38,21:06:25.187398,2018-10-14,In Stock,In Stock,In Stock,In Stock,In Stock,Di 16 Okt,火 2018/10/16,Tue 16 Oct,有现货,In Stock,In Stock,In Stock,In Stock,In Stock,Di 16 Okt,Tue 16 Oct,有现货,,,,,,,,,,,,,
39,21:14:07.755855,2018-10-14,In Stock,In Stock,In Stock,In Stock,In Stock,Di 16 Okt,火 2018/10/16,Tue 16 Oct,有现货,In Stock,In Stock,In Stock,In Stock,In Stock,Di 16 Okt,Tue 16 Oct,有现货,,,,,,,,,,,,,
40,21:20:28.419628,2018-10-14,In Stock,In Stock,In Stock,In Stock,In Stock,Di 16 Okt,火 2018/10/16,Tue 16 Oct,有现货,In Stock,In Stock,In Stock,In Stock,In Stock,Di 16 Okt,Tue 16 Oct,有现货,,,,,,,,,,,,,
